year,rain,gdf,rd,wd,county
1945,94.8,16.5,28,19,Donegal
1946,89.85,14.76,19.7,15.7,Donegal
1947,92.83,20.04,17.67,14,Donegal
1948,84.83,17.46,19.25,14.75,Donegal
1949,100.72,19.32,21.83,17.58,Donegal
1950,117.73,18.92,21.58,18.67,Donegal
1951,96.6,15.34,20.5,15.67,Donegal
1952,84.1,14.83,20.17,15.17,Donegal
1953,81.97,16.71,19.17,13.83,Donegal
1954,113.68,21.17,22.92,17.83,Donegal
1955,79.02,19.04,18.42,13.58,Donegal
1956,90.04,20.08,21.17,16.08,Donegal
1957,91.42,18.66,19.92,15,Donegal
1958,86.59,16.04,19.75,15.5,Donegal
1959,79.83,14.97,17.33,13.92,Donegal
1960,92.58,17.48,21.17,16.25,Donegal
1961,86.2,18.53,18.92,15.25,Donegal
1962,84.18,16.94,17.58,12.92,Donegal
1963,74.34,14.47,18.08,12.83,Donegal
1964,86.52,16.7,19,14.67,Donegal
1965,98.35,21.31,19.33,15.75,Donegal
1966,88.71,16.98,20.5,16.42,Donegal
1967,86.73,15.15,21.5,16.42,Donegal
1968,89.6,19.43,18.4,14.2,Donegal
1969,83.25,15.95,20.25,15.33,Donegal
1970,96.68,19.91,21.83,16,Donegal
1971,79.22,15.74,18.75,13.33,Donegal
1972,85.42,15.28,18.67,14.67,Donegal
1973,86.67,17.22,20.08,14.92,Donegal
1974,93.95,14.02,21.75,16.83,Donegal
1975,76.5,14.34,18.08,12.92,Donegal
1976,77.87,14.11,18.75,14.5,Donegal
1977,84.54,15.61,19.73,16.27,Donegal
1978,97.43,18.88,19.92,15.67,Donegal
1979,100.88,19.42,21.67,17.75,Donegal
1980,99.14,16.41,21.5,17.33,Donegal
1981,104.26,17.16,21.5,16.5,Donegal
1982,95.77,16.2,20.42,16.42,Donegal
1983,89.03,16.45,18.5,14.92,Donegal
1984,86.79,16.13,18.25,14.75,Donegal
1985,94.63,17.88,20.25,15.5,Donegal
1986,107.27,17.02,20.75,17.33,Donegal
1987,75.76,16.2,17.92,13.75,Donegal
1988,99.44,16.83,20.17,16.58,Donegal
1989,88.24,17.51,19.08,15.42,Donegal
1990,107.29,17.23,20.42,17.08,Donegal
1991,92.12,16.88,18.73,14.55,Donegal
1992,107.45,18.34,21.5,17.08,Donegal
1993,97.27,16.91,20.5,15.08,Donegal
1994,99.63,15.05,20.92,16.58,Donegal
1995,103.54,19.99,20.08,16,Donegal
1996,81.33,14.58,18.58,14.42,Donegal
1997,88.73,17.58,18.5,13.92,Donegal
1998,113.54,18.61,22.5,18,Donegal
1999,120.24,22.17,21.67,18.33,Donegal
2000,110.45,19.57,21.5,17.08,Donegal
2001,87.99,17.12,19.92,15.33,Donegal
2002,115.05,20.4,20.67,16.67,Donegal
2003,77.67,13.72,18.58,14.75,Donegal
2004,102.32,20.02,21.17,15.83,Donegal
2005,92.22,17.22,19.83,14.75,Donegal
2006,106.56,18.33,19.83,15.92,Donegal
2007,100.76,21.17,20.83,15.67,Donegal
2008,109.95,17.44,22.17,18.33,Donegal
2009,114.57,17.36,21.83,17.83,Donegal
2010,75.62,15.82,18.42,13.5,Donegal
2011,113.41,21.32,21.75,17.42,Donegal
2012,105.17,20.84,22,16.5,Donegal
2013,93.56,16.52,21,16.42,Donegal
2014,115.09,21.93,22.67,17.25,Donegal
2015,128.84,21.74,20.83,16.83,Donegal
2016,95.64,15.11,20.58,16,Donegal
2017,102.72,19.76,22,16.58,Donegal
2018,84.66,16.09,19.75,14.5,Donegal
2019,88.3,18.93,17.67,14,Donegal
1964,104.97,26.6,19,12,Waterford
1965,111.79,20.86,16.75,14.33,Waterford
1966,120.11,25.04,18.42,14.83,Waterford
1967,102.08,23.15,16.83,13.58,Waterford
1968,112.25,27.86,16.42,14.17,Waterford
1969,78.01,17.84,14.5,11.58,Waterford
1970,90.17,21.87,15.92,13.08,Waterford
1971,81.52,19.03,14.75,12,Waterford
1972,108.8,20.33,16.25,13.83,Waterford
1973,93.07,24.94,16.25,12.17,Waterford
1974,108.34,21.99,16.92,14.33,Waterford
1975,81.48,21.88,14.5,11.2,Waterford
1976,90.68,22.21,14.43,10.71,Waterford
1977,115.51,28.26,15.56,12.33,Waterford
1978,115.55,32.29,14.57,12.71,Waterford
1979,108.17,31.46,15.78,13.89,Waterford
1980,115.12,22.12,17.5,14.58,Waterford
1981,99.04,19.97,14.91,12,Waterford
1982,132.54,32.3,18,15.55,Waterford
1983,97.91,23.65,17.92,14.08,Waterford
1984,107.45,27.12,14.67,12.08,Waterford
1985,112.47,29.9,16.5,13,Waterford
1986,110.57,24.42,17,13.73,Waterford
1987,106.38,29.11,16.33,13.17,Waterford
1988,119.74,27.79,17.67,14.5,Waterford
1989,89.91,18.48,15.92,13.42,Waterford
1990,97.7,24.09,16.25,12.83,Waterford
1991,93.82,22.25,16,12.42,Waterford
1992,89.28,23.46,17.5,13.67,Waterford
1993,127.68,37.62,17.42,12.58,Waterford
1994,135.54,29.48,20.08,15.83,Waterford
1995,112.73,24.87,16,13.5,Waterford
1996,146.34,38.33,15.25,12.58,Waterford
1997,132.28,40.02,16.58,13.08,Waterford
1998,120.99,25.12,19.33,15.25,Waterford
1999,93.21,21.59,17.67,13.58,Waterford
2000,112.99,24.78,18.67,14.58,Waterford
2001,101.73,30.37,16.58,12.92,Waterford
2002,136.85,25.83,18.58,15.5,Waterford
2003,96.26,25.73,14.67,11.83,Waterford
2004,103.97,27.79,14.5,11.92,Waterford
2005,120.39,33.92,15.67,12.17,Waterford
2006,118.28,28.87,16.33,12.83,Waterford
2007,96.36,23.06,16.67,12.75,Waterford
2008,109.37,25.37,16.08,13.33,Waterford
2009,145.91,27.82,18.42,14.58,Waterford
2010,97.36,31.33,12.75,9.5,Waterford
2011,89.31,23.35,17.5,12.92,Waterford
2012,105.82,23.71,18.33,14.17,Waterford
2013,100.45,26.32,14.92,11.58,Waterford
2014,113.22,23.22,17.17,13.42,Waterford
2015,120.83,28.48,16.58,13.5,Waterford
2016,102.11,26.19,14.58,12.08,Waterford
2017,107.12,27.91,17.33,12.92,Waterford
2018,112.82,24.29,16.58,13.5,Waterford
2019,106.85,30.8,17.17,12.67,Waterford
1952,78.1,13.77,16.67,12.33,Louth
1953,51.45,14.46,14.5,10.83,Louth
1954,78.72,18.03,17.25,12.92,Louth
1955,57.1,16.13,13.75,10.25,Louth
1956,64.69,15.31,15.17,10.5,Louth
1957,67.5,16.04,16.08,11.92,Louth
1958,92.6,20.52,18.5,13.75,Louth
1959,61.62,16.51,13.42,10.5,Louth
1960,77.9,19.27,17,12.58,Louth
1961,59.91,14.17,14.58,11.17,Louth
1962,56.87,13.8,15.42,11,Louth
1963,60.07,13.92,16,12.58,Louth
1964,61.24,18.46,15.82,9.82,Louth
1965,70.13,15.81,16.58,11.42,Louth
1966,88.26,20.83,18.25,12.75,Louth
1967,69.93,19.39,17,12,Louth
1968,69.09,19.24,15.42,10.92,Louth
1969,61.68,17.54,13.33,9.5,Louth
1970,62.18,14.47,17.17,11.67,Louth
1971,46.28,14.37,12.55,8.36,Louth
1972,59.05,14.16,14.92,11.33,Louth
1973,53.86,15.5,15.33,10.5,Louth
1974,66.12,16.97,16.33,11.33,Louth
1975,50.03,13.27,14.08,9.42,Louth
1976,64.2,15.86,14.42,10,Louth
1977,66.7,14.49,16.08,12.5,Louth
1978,66.31,13.92,15.83,11.83,Louth
1979,67.98,14.72,16.73,12.73,Louth
1980,66.35,13.73,16.5,12.08,Louth
1981,60.25,12.92,15.17,10.67,Louth
1982,56.23,11.77,15.82,11.73,Louth
1983,45.17,12.89,13.25,8.88,Louth
1984,55.45,14.89,12.9,9.2,Louth
1985,63.86,17.27,16.62,11.12,Louth
1986,15.33,4.1,7.67,4,Louth
1987,52.15,14.5,16.5,11,Louth
1989,55.8,16.45,14.5,12,Louth
1990,59.96,15.13,14.92,10.83,Louth
1991,54.31,14.13,13,9,Louth
1992,54.13,14.41,14.36,10.18,Louth
1993,65.96,18.39,14.67,10.17,Louth
1994,67.3,11.64,16.5,13.25,Louth
1995,65.2,16.19,12.09,9,Louth
1996,62.21,16.07,14.83,11,Louth
1997,62.29,15.08,13.75,9.92,Louth
1998,71.11,13.27,17,12.83,Louth
1999,69.31,17.59,15.73,11.36,Louth
2000,70.02,14,16.75,12.58,Louth
2001,46.91,12.26,14.17,9.25,Louth
2002,91.48,23.13,18.33,13.92,Louth
2003,51.61,12.44,13.83,10.08,Louth
2004,57.23,16.1,14.83,10.42,Louth
2005,52.39,13.63,14.33,11,Louth
2006,72.98,16.19,14.83,11.25,Louth
2007,61.33,11.81,14.75,10.83,Louth
2008,72.39,18.15,15.09,11.73,Louth
2009,70.53,15.85,15.5,12.08,Louth
2010,64.96,18.82,12.42,10.17,Louth
2011,58.68,15.5,15.5,10.58,Louth
2012,71.76,15.03,16.42,12.67,Louth
2013,69.89,17.48,14.75,10.92,Louth
2014,76.37,16.98,16.25,13.33,Louth
2015,76.48,17.41,17.08,12.92,Louth
2016,57.27,14.89,15.75,11.5,Louth
2017,53.67,14.58,16.17,10.67,Louth
2018,58.55,12.55,15.5,10.83,Louth
2019,61.92,16.65,15.17,10,Louth
1944,100.77,20.44,20.89,15.33,Roscommon
1945,89.93,15.08,19.58,15.33,Roscommon
1946,92.97,17.15,18.67,14.83,Roscommon
1947,101.12,22.17,17.25,14.75,Roscommon
1948,93.89,17.85,17.75,15.08,Roscommon
1949,91.2,15.71,19.75,16,Roscommon
1950,101.95,17.78,20.67,17.08,Roscommon
1951,94.85,16.31,19.25,15.83,Roscommon
1952,71.27,12.26,16.58,13.25,Roscommon
1953,76.46,15.95,18,14.08,Roscommon
1954,114.27,24.02,21.92,17.92,Roscommon
1955,84.53,21.47,16.17,12.33,Roscommon
1956,91.38,17.72,18.5,14.67,Roscommon
1957,91.25,18.89,18.58,14.67,Roscommon
1958,99.72,18.13,20.08,16.75,Roscommon
1959,94.67,20.67,17.58,14.5,Roscommon
1960,99.93,19.81,20.25,15.75,Roscommon
1961,91.73,20.83,19.58,14.75,Roscommon
1962,83.74,17.51,17.42,13.33,Roscommon
1963,77.73,17.23,17.92,13,Roscommon
1964,88.41,17.53,18.75,15,Roscommon
1965,100.94,19.07,20.18,15.45,Roscommon
1966,95.68,20.8,20.36,16.45,Roscommon
1967,93.86,20.49,21.67,18.11,Roscommon
1968,102.69,28.29,17.44,15.11,Roscommon
1969,72.72,15.32,18.82,15.64,Roscommon
1970,93.65,15.91,20,15.7,Roscommon
1971,71.05,15.5,16,13,Roscommon
1972,84.6,1.5,0,0,Roscommon
1973,87.56,18.8,0,0,Roscommon
1974,93.85,14.45,14.67,10,Roscommon
1975,79.92,13.3,0,0,Roscommon
1976,76.66,15.9,8.5,6.5,Roscommon
1977,76.65,18.2,0,0,Roscommon
1978,0,0,0,0,Roscommon
1979,114.16,17.92,25.5,18.88,Roscommon
1980,116.02,22.29,29.42,18.75,Roscommon
1981,111.37,20.09,27.9,18.2,Roscommon
1982,108.12,17.44,27.27,18,Roscommon
1983,98.27,16.69,26.18,13.91,Roscommon
1984,96.21,15.76,25,15,Roscommon
1985,100.76,19.29,29,18.14,Roscommon
1986,123.08,24.18,29.5,20.1,Roscommon
1987,84.33,14.38,27,13.2,Roscommon
1988,114.06,22.2,27.83,21.67,Roscommon
1989,111.41,22.74,23.8,16,Roscommon
1990,120.21,19.05,26.73,17.82,Roscommon
1991,104.02,18.58,26.91,14.45,Roscommon
1992,120.03,23.96,25.8,17.2,Roscommon
1993,107.17,18.33,26.43,15.71,Roscommon
1994,112.56,19.55,26.36,17.45,Roscommon
1995,103.91,23.66,24.9,16.2,Roscommon
1996,96,17.88,21.8,14.6,Roscommon
1997,105.87,18.57,22,15.25,Roscommon
1998,117.43,22.16,25.2,18.3,Roscommon
1999,115.25,19.71,25.3,17.1,Roscommon
2000,117.51,17.62,24.89,18.44,Roscommon
2001,95.99,18.8,22,16.5,Roscommon
2002,129,18.34,25.56,17.33,Roscommon
2003,87.41,16.96,22.29,14.29,Roscommon
2004,99.99,18.65,21.5,15.25,Roscommon
2005,95.41,19.51,20.33,14.92,Roscommon
2006,102.32,18.57,20,15.92,Roscommon
2007,101.44,21.8,19.75,15.75,Roscommon
2008,117.27,20.08,22.08,17.33,Roscommon
2009,119.01,17.53,21.25,16.75,Roscommon
2010,86.57,18.65,19.2,14.1,Roscommon
2011,116.44,21.58,22.25,17.67,Roscommon
2012,108.37,23.71,22.25,17,Roscommon
2013,99.44,21.3,19.5,15.08,Roscommon
2014,115.04,19.09,22.08,17.33,Roscommon
2015,133.16,24.38,21.83,17,Roscommon
2016,94.45,16.27,21.67,15.67,Roscommon
2017,104.38,18.06,24,17.5,Roscommon
2018,98.07,19.24,20.92,16.08,Roscommon
2019,98.75,20.28,20.17,15,Roscommon
1955,62.87,13.65,14.56,11.67,Offaly
1956,70.64,15.48,18,12.08,Offaly
1957,69.41,14.83,16.33,12.75,Offaly
1958,77.51,16.74,18.17,13.08,Offaly
1959,69.38,16.43,16.25,11.25,Offaly
1960,90.69,20.78,19.25,14.25,Offaly
1961,67.17,15.69,15.92,12,Offaly
1962,68.74,16.07,17.17,12.08,Offaly
1963,63.67,11.92,17.5,12.5,Offaly
1964,64.98,14.5,18.33,12.25,Offaly
1965,86.01,18.12,18.75,14.5,Offaly
1966,79.46,16.06,18.75,13.92,Offaly
1967,70.33,16.98,18.33,13,Offaly
1968,76.49,24.25,16.4,13.1,Offaly
1969,58.4,12.73,16.92,11.5,Offaly
1970,72.78,15.74,18.42,13.42,Offaly
1971,50.95,14.15,15.08,10.67,Offaly
1972,66.83,13.64,16.5,12.67,Offaly
1973,71.13,16.84,18.08,12.5,Offaly
1974,75.54,17.08,19.42,14.08,Offaly
1975,63.2,16,15.42,10.5,Offaly
1976,69.7,15.38,16.08,11.42,Offaly
1977,74.48,15.72,17.6,14.3,Offaly
1978,73.67,16.38,17.5,12.58,Offaly
1979,77.41,15.69,20.33,15,Offaly
1980,81.26,17.48,19.17,13.83,Offaly
1981,77.93,16.17,18.92,14.33,Offaly
1982,81.39,14.24,19.25,14.5,Offaly
1983,80.51,18.38,18.25,13.33,Offaly
1984,80.74,20.26,17.5,12.08,Offaly
1985,78.43,15.33,18.83,13.75,Offaly
1986,83.41,15.4,19.92,14.5,Offaly
1987,66.02,17,17.08,12.58,Offaly
1988,78.8,14.63,18.08,13.58,Offaly
1989,62.66,12.87,16.67,11.75,Offaly
1990,80.73,18.03,17.25,13.25,Offaly
1991,69.55,14.02,17.58,12.08,Offaly
1992,72.07,18.52,17.75,13.17,Offaly
1993,81.65,18.99,18,13.67,Offaly
1994,87.62,16.55,18.3,14.1,Offaly
1995,73.92,15.67,16.5,11.42,Offaly
1996,71.66,17.44,15.58,11.67,Offaly
1997,78.08,20.5,16.08,12.08,Offaly
1998,82.09,14.93,19.75,15.5,Offaly
1999,81.61,17.07,17.75,13.08,Offaly
2000,76.07,17.98,19.42,14,Offaly
2001,57.9,13.48,16.67,11,Offaly
2002,90.64,15.96,19,14.75,Offaly
2003,59.07,15.3,15.58,11,Offaly
2004,75.88,17.89,18,11.75,Offaly
2005,66.63,17.78,17.58,11.33,Offaly
2006,81.59,16.77,17.58,12.5,Offaly
2007,73.28,16.07,17.83,12.67,Offaly
2008,92.94,17.76,18.33,14.5,Offaly
2009,88.59,19.12,19.08,14.08,Offaly
2010,73.97,19.54,14.58,10.5,Offaly
2011,73.67,15.44,18.83,13.25,Offaly
2012,93.67,20.32,19.67,14.08,Offaly
2013,81.67,16.47,16.17,12.25,Offaly
2014,96.48,21.92,18.92,14.83,Offaly
2015,96.15,18.45,18.25,14,Offaly
2016,73.71,16.12,17.75,12.83,Offaly
2017,77.36,18.88,18.75,13.83,Offaly
2018,69.34,13.43,17.83,12.58,Offaly
2019,72.82,17.28,17,12.67,Offaly
1945,79.75,,,,Clare
1946,82.27,,,,Clare
1947,85.53,,,,Clare
1948,88.37,,,,Clare
1949,75.86,,,,Clare
1950,83.4,,,,Clare
1951,84.38,,,,Clare
1952,64.15,,,,Clare
1953,64.81,,,,Clare
1954,82.91,,,,Clare
1955,65.02,,,,Clare
1956,78.7,,,,Clare
1957,73.51,,,,Clare
1958,78.31,,,,Clare
1959,80.76,,,,Clare
1960,97.94,,,,Clare
1961,75.37,,,,Clare
1962,76.77,,,,Clare
1963,65.78,,,,Clare
1964,79.26,,,,Clare
1965,80.67,,,,Clare
1966,81.47,,,,Clare
1967,73.17,,,,Clare
1968,78.44,,,,Clare
1969,68.68,,,,Clare
1970,78.48,,,,Clare
1971,59.09,,,,Clare
1972,74.57,,,,Clare
1973,78.48,,,,Clare
1974,87.71,,,,Clare
1975,67.57,,,,Clare
1976,71.98,,,,Clare
1977,75.24,,,,Clare
1978,74.65,,,,Clare
1979,92.83,,,,Clare
1980,87.12,,,,Clare
1981,73.04,,,,Clare
1982,91.16,,,,Clare
1983,79.62,,,,Clare
1984,75.34,,,,Clare
1985,74.78,,,,Clare
1986,87.3,,,,Clare
1987,63.11,,,,Clare
1988,89.92,,,,Clare
1989,70.13,,,,Clare
1990,85.32,,,,Clare
1991,73.3,,,,Clare
1992,76.32,,,,Clare
1993,79.83,,,,Clare
1994,99.53,,,,Clare
1995,85.98,,,,Clare
1996,73.83,,,,Clare
1997,85.57,,,,Clare
1998,95.38,,,,Clare
1999,91.33,,,,Clare
2000,91.42,,,,Clare
2001,66.12,,,,Clare
2002,89.08,,,,Clare
2003,64.44,,,,Clare
2004,75.31,,,,Clare
2005,76.18,,,,Clare
2006,80.71,,,,Clare
2007,76.79,,,,Clare
2008,105.77,,,,Clare
2009,97.14,,,,Clare
2010,70.42,,,,Clare
2011,84.74,,,,Clare
2012,87.23,,,,Clare
2013,77.73,,,,Clare
2014,97.52,,,,Clare
2015,105.66,,,,Clare
2016,76.12,,,,Clare
2017,89.02,,,,Clare
2018,80.42,,,,Clare
2019,81.2,,,,Clare
1944,240.55,36.6,27,22.5,Cavan
1945,144.92,27.35,21.25,18.08,Cavan
1946,173.77,29.14,20.92,17.58,Cavan
1947,154.09,29.54,20.27,17.27,Cavan
1948,164.78,32.27,20.75,18.42,Cavan
1949,153.95,27.66,22.25,18.92,Cavan
1950,162.95,28.6,23.08,20.25,Cavan
1951,139.6,23.85,21.67,17.42,Cavan
1952,117.53,20.54,20.92,16.25,Cavan
1953,126.15,26.07,20,16.17,Cavan
1954,202.58,33.71,24.08,20.5,Cavan
1955,132.38,28.72,18.08,14.67,Cavan
1956,147.57,30.67,22.33,18.17,Cavan
1957,157.73,25.69,21.17,17.5,Cavan
1958,150.91,26.28,22.92,18.75,Cavan
1959,149.61,23.78,19.75,16.42,Cavan
1960,168.73,29.03,22.25,18.17,Cavan
1961,165.46,32.98,21.67,17.42,Cavan
1962,155.44,31.58,20.5,16.75,Cavan
1963,142.68,24.75,21.5,17,Cavan
1964,157.09,31.38,21.67,17.42,Cavan
1965,177.16,29.43,22.83,17.67,Cavan
1966,181.46,33.12,23.42,19.33,Cavan
1967,166.71,26.6,23.83,20.17,Cavan
1968,153.43,32.23,20.83,16.08,Cavan
1969,126.88,24.23,22.92,17.17,Cavan
1970,172.28,35.09,24.42,19.25,Cavan
1971,119.25,22.08,19.5,15.75,Cavan
1972,150.93,30.78,19.92,17.33,Cavan
1973,134.44,23.52,22.08,18,Cavan
1974,176.74,29.96,23.25,19.08,Cavan
1975,132.12,27.45,19.83,15.5,Cavan
1976,153.29,29.05,20.33,15.5,Cavan
1977,158.14,28.13,22.09,18.45,Cavan
1978,148.28,30.91,22.08,17,Cavan
1979,167.1,32.26,25.64,20.73,Cavan
1980,179.95,27.63,24,20.08,Cavan
1981,175.8,26.67,23.33,19.58,Cavan
1982,175.17,25.4,23,20,Cavan
1983,150.81,25.72,22.67,17.25,Cavan
1984,150.72,26.7,20.45,16.73,Cavan
1985,178.94,33.43,22.11,19,Cavan
